id,user,message,createdAt,logType,component,level,metadata
384,system,[INFO] Build configuration parsed successfully,2025-09-05 08:04:21.258 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
385,system,[INFO] Starting build safety validation,2025-09-05 08:04:21.269 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
386,system,[INFO] Production build safety validation passed,2025-09-05 08:04:21.274 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
387,system,[INFO] Starting build environment validation,2025-09-05 08:04:21.279 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
388,system,[INFO] Build environment validation completed,2025-09-05 08:04:25.762 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
389,system,[INFO] Starting database cleanup,2025-09-05 08:04:25.768 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
390,system,[ERROR] Build preparation failed,2025-09-05 08:04:28.290 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'"",""stack"":""Error: EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'\n    at Object.unlinkSync (node:fs:1877:11)\n    at D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:588:16\n    at async executeWithRetry (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:46:14)\n    at async cleanDatabase (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:574:7)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:151:5)"",""duration"":""7092ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
391,system,[INFO] Build preparation started,2025-09-05 08:48:42.339 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T08:48:42.337Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
392,system,[INFO] Starting build configuration parsing,2025-09-05 08:48:42.382 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
393,system,[INFO] Build configuration parsed successfully,2025-09-05 08:48:42.392 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
394,system,[INFO] Starting build safety validation,2025-09-05 08:48:42.398 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
395,system,[INFO] Production build safety validation passed,2025-09-05 08:48:42.402 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
396,system,[INFO] Starting build environment validation,2025-09-05 08:48:42.407 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
397,system,[INFO] Build environment validation completed,2025-09-05 08:48:46.865 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
398,system,[INFO] Starting database cleanup,2025-09-05 08:48:46.869 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
399,system,[ERROR] Build preparation failed,2025-09-05 08:48:55.402 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'"",""stack"":""Error: EBUSY: resource busy or locked, unlink 'D:\\dev\\smc\\smc-app\\resources\\db\\database.db'\n    at Object.unlinkSync (node:fs:1877:11)\n    at D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:598:20\n    at async executeWithRetry (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:46:14)\n    at async cleanDatabase (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:574:7)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:151:5)"",""duration"":""13064ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
400,system,[INFO] Build preparation started,2025-09-05 08:49:36.668 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T08:49:36.666Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
401,system,[INFO] Starting build configuration parsing,2025-09-05 08:49:36.710 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
402,system,[INFO] Build configuration parsed successfully,2025-09-05 08:49:36.721 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
403,system,[INFO] Starting build safety validation,2025-09-05 08:49:36.726 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
404,system,[INFO] Production build safety validation passed,2025-09-05 08:49:36.732 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
405,system,[INFO] Starting build environment validation,2025-09-05 08:49:36.736 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
406,system,[INFO] Build environment validation completed,2025-09-05 08:49:41.415 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
407,system,[INFO] Starting database cleanup,2025-09-05 08:49:41.420 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
408,system,[INFO] Database cleanup completed,2025-09-05 08:49:50.976 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
409,system,[INFO] Starting organization data setup,2025-09-05 08:49:50.982 +00:00,build,build-prep,info,"{""operation"":""setupOrganizationData"",""organizationName"":""SMC_INTERNAL"",""customerName"":""SMC_INTERNAL"",""useLicenseData"":true}"
410,system,[ERROR] Failed to setup organization data,2025-09-05 08:49:50.990 +00:00,error,build-prep,error,"{""operation"":""setupOrganizationData"",""error"":""Validation error"",""organizationName"":""SMC_INTERNAL""}"
411,system,[ERROR] Build preparation failed,2025-09-05 08:49:52.007 +00:00,error,build-prep,error,"{""operation"":""main"",""error"":""Validation error"",""stack"":""Error\n    at Database.<anonymous> (D:\\dev\\smc\\smc-app\\node_modules\\sequelize\\src\\dialects\\sqlite\\query.js:236:27)\n    at D:\\dev\\smc\\smc-app\\node_modules\\sequelize\\src\\dialects\\sqlite\\query.js:234:50\n    at new Promise (<anonymous>)\n    at Query.run (D:\\dev\\smc\\smc-app\\node_modules\\sequelize\\src\\dialects\\sqlite\\query.js:234:12)\n    at D:\\dev\\smc\\smc-app\\node_modules\\sequelize\\src\\sequelize.js:650:28\n    at async setupOrganizationData (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:848:5)\n    at async main (D:\\dev\\smc\\smc-app\\scripts\\build-prep.ts:152:5)"",""duration"":""15341ms"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
412,system,[INFO] Build preparation started,2025-09-05 08:53:07.459 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T08:53:07.457Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
413,system,[INFO] Starting build configuration parsing,2025-09-05 08:53:07.503 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
414,system,[INFO] Build configuration parsed successfully,2025-09-05 08:53:07.514 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
415,system,[INFO] Starting build safety validation,2025-09-05 08:53:07.520 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
416,system,[INFO] Production build safety validation passed,2025-09-05 08:53:07.525 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
417,system,[INFO] Starting build environment validation,2025-09-05 08:53:07.530 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""platform"":""win32""}"
418,system,[INFO] Build environment validation completed,2025-09-05 08:53:12.071 +00:00,build,build-prep,info,"{""operation"":""validateBuildEnvironment"",""nodeVersion"":""v20.15.0"",""majorVersion"":20}"
419,system,[INFO] Starting database cleanup,2025-09-05 08:53:12.076 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
420,system,[INFO] Database cleanup completed,2025-09-05 08:53:21.633 +00:00,build,build-prep,info,"{""operation"":""cleanDatabase""}"
421,system,[INFO] Starting organization data setup,2025-09-05 08:53:21.637 +00:00,build,build-prep,info,"{""operation"":""setupOrganizationData"",""organizationName"":""SMC_INTERNAL"",""customerName"":""SMC_INTERNAL"",""useLicenseData"":true}"
422,system,Production build preparation completed for SMC_INTERNAL (Customer: SMC_INTERNAL) - License-based configuration,2025-09-05 08:53:21,system,unknown,info,
423,system,[INFO] Organization data setup completed,2025-09-05 08:53:22.722 +00:00,build,build-prep,info,"{""operation"":""setupOrganizationData"",""organizationName"":""SMC_INTERNAL""}"
424,system,[INFO] Starting license file cleanup,2025-09-05 08:53:22.726 +00:00,build,build-prep,info,"{""operation"":""cleanLicenseFiles""}"
425,system,[INFO] License file cleanup completed,2025-09-05 08:53:22.731 +00:00,build,build-prep,info,"{""operation"":""cleanLicenseFiles"",""removedCount"":1}"
426,system,[INFO] Starting resources directory preparation,2025-09-05 08:53:22.736 +00:00,build,build-prep,info,"{""operation"":""prepareResourcesDirectory""}"
427,system,[INFO] Resources directory preparation completed,2025-09-05 08:53:22.743 +00:00,build,build-prep,info,"{""operation"":""prepareResourcesDirectory""}"
428,system,[INFO] Starting build readiness validation,2025-09-05 08:53:22.748 +00:00,build,build-prep,info,"{""operation"":""validateBuildReadiness""}"
429,system,[INFO] Build readiness validation completed,2025-09-05 08:53:23.771 +00:00,build,build-prep,info,"{""operation"":""validateBuildReadiness""}"
430,system,[INFO] Build preparation completed successfully,2025-09-05 08:53:23.776 +00:00,build,build-prep,info,"{""operation"":""main"",""duration"":""16319ms"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
431,system,[INFO] Build preparation started,2025-09-05 09:09:00.836 +00:00,build,build-prep,info,"{""operation"":""main"",""timestamp"":""2025-09-05T09:09:00.833Z"",""platform"":""win32"",""nodeVersion"":""v20.15.0""}"
432,system,[INFO] Starting build configuration parsing,2025-09-05 09:09:00.877 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""args"":[]}"
433,system,[INFO] Build configuration parsed successfully,2025-09-05 09:09:00.887 +00:00,build,build-prep,info,"{""operation"":""parseBuildConfiguration"",""organizationName"":""SMC_INTERNAL"",""deviceType"":""DS12"",""licenseType"":""production"",""isInternalBuild"":false,""useLicenseData"":true}"
434,system,[INFO] Starting build safety validation,2025-09-05 09:09:00.893 +00:00,build,build-prep,info,"{""operation"":""validateBuildSafety"",""isInternalBuild"":false,""licenseType"":""production"",""bypassMode"":""false"",""realHardware"":""false""}"
